Code departement;Departement;Code INSEE;Commune;Numéro de l'installation;Nom usuel de l'installation;Numéro de la fiche équipement;Equipement;Batiment;Nombre d'équipements identiques;Type d'équipement_Code;Type d'équipement;Propriétaire principal;Gestionnaire principal;Propriétaire secondaire;Gestionnaire secondaire libellé;Gestion en délégation de service public;Nombre de vestiaires avec douches;Présence d'un éclairage;Chapiteau tente;Etablissement flottant;Salle polyvalente;Restaurant et débit de boisson;Etablissement recevant du public Hôtel;Hôtel Restaurant d'altitude;Salle de danse et jeux;Etablissement de plein air;Enseignement et colo;Etablissement recevant du public Type PE;Structure gonflable;Etablissement sportif couvert;Catégorie établissement recevant du public de 1 à 5;Année de mise en service;Tranche d'année de mise en service;Nombre de place en tribune;Libellé de la nature du sol;Libellé de la nature de l'équipement;Aire d'évolution Hauteur;Aire d'évolution Longueur;Aire d'évolution Largeur;Aire d'évolution Surface;Hauteur surface évolution;Nombre de couloir / piste / poste / etc.;Nombre de vestiaire sportif;Dont nombre de vestiaire chauffé;Nombre de vestiaire arbitre enseignant;Nombre de sanitaire sportif;Nombre de sanitaire public;Ouverture exclusivement saisonnière;Equipement de proximité (ouvert 7j/7j - 24h/24h);Sono fixe;Tableau fixe;Chronométrage;Aucun aménagement d'information;Utilisateur scolaire;Utilisateur club;Utilisateur autre;Utilisateur individuel;Utilisation performance;Utilisation formation;Utilisation récréation sportive;Tranche de date de dernier travaux réalisés;Date dernier travaux réalisés;Aucun travaux réalisé;Travaux de mise en conformité avec les règlements;Normes AFNOR;Inadaptation aux attentes des usagers;Dégâts liés à des dégradations ou à une catastrophe naturelle;Vétusté normal;Accès handicapé mobilité Aire d'évolution;Accès handicapé mobilité Tribune;Accès handicapé mobilité Vestiaire;Accès handicapé mobilité sanitaire sportif;Accès handicapé mobilité sanitaire public;Accès handicapé mobilité Aucun;Accès handicapé sensoriel Aucun;Accès handicapé sensoriel Aire d'évolution;Accès handicapé sensoriel Tribune;Accès handicapé sensoriel Vestiaire;Accès handicapé sensoriel Sanitaire sportif;Accès handicapé sensoriel Public;Accueil club;Accueil salle de réunion;Accueil buvette;Accueil contrôle anti-dopage;Accueil centre médico sportif;Accueil infirmerie;Accueil bureau;Accueil réception;Accueil local rangement;Accueil autre;Accueil aucun;Non chauffé;Chauffage fuel;Chauffage gaz;Chauffage électricité;Chauffage solaire;Chauffage autre;Confort sauna;Confort bain bouillonnant;Confort bain vapeur;Confort solarium;Confort autre;Confort aucun;Démarche haute qualité environnementale;Nombre de couloirs pour les structures artificielles d'escalade;Hauteur pour les structures artificielles d'escalade;Surface pour les structures artificielles d'escalade;Présence d'une signalétique;Présence de moyen d'alerte;Accès pédestre pour le public;Accès route pour le public;Accès mécanique pour le public;Accès nautique pour le public;Accès pédestre pour les secours;Accès routier pour les secours;Accès mécanique pour les secours;Accès nautique pour les secours;Locaux techniques;Locaux pédagogiques;Existence d'une aide publique à l'investissement;Equipement inscrit au plan départemental des espaces, sites et itinéraires;Situation de l'espace ou site de pratique;Site escalade Nombre de voies;Classe fédérale mini;EquNatureClassFedeMaxi;Présence d'une tour d'arrivée;Envol treuil;EquNatureSKAltitudeBasse;EquNatureSKAltitudeHaute;EquNatureSKDebit;Total remontée;EquNatureSKNbKMSkiAlpin;EquNatureSKNbKMSkiNordique;EquNatureSHNbPisteNeigeArti;EquNatureSKSnowPark;EquNatureSKHalfpipe;EquNatureSKKmLance;EquNatureSKBorder;EquNatureSKSlalom;EquNatureSKTremplin;EquNatureSKJardinAlpin;EquNatureSKJardinNordique;EquipementTir1Non;Tir 25;EquipementTir5Non;EquipementTir1NonNon;EquipementTir2NonNon;EquipementTir3NonNon;Tir plateau;Tir autre;Développement de la piste en mètre;Longueur de ligne droite;Nombre de couloir en ligne droite;Nombre de couloir hors ligne droite;Rivière de steeple;Système d'aide à la surveillance;Nombre d'aires de saut;Nombre d'aires de saut en hauteur;Nombre d'aires de saut en longueur;Nombre d'aires de saut en longueur et triple saut;Nombre d'aires de saut en sautoir perche;Nombre d'aires de lancer;Nombre d'aires de poids;Nombre d'aires de disque;Nombre d'aires de javelot;Nombre d'aires de marteau;Nombre d'aires de lancer mixte disque/marteau;Forme du bassin;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur mini;Profondeur maxi;Nombre de couloirs;Surface des plages;Nombre total de tremplins;Nombre de tremplins de 1 m;Nombre de tremplins de 3 m;Nombre total de plateformes;Nombre de plateformes de 3 m;Nombre de plateformes de 5 m;Nombre de plateformes de 7,5 m;Nombre de plateformes de 10 m;Machine à vagues;Toboggan;Pentaglisse;Rivière;Système d'immersion personne handicapée;Fond mobile;Mur ou aileron mobile;Eclairage subaquatique;Sonorisation subaquatique;Autre aménagement;Présence pataugeoire;Coordonnées GPS longitude;Coordonnées GPS latitude;Date de création de la fiche équipement;Date de mise à jour de la fiche équipement;localisation
44.0;Loire-Atlantique;44001;Abbaretz;440010002;Terrain de Sports;69849;Terrain de Football Engazonné;;1;2802;Terrain de football;Commune;Commune;Commune;Association(s);Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;1978;1975-1984;200;Gazon naturel;Découvert;;117.00;75.00;8775.00;;0;4;Oui;2;Oui;Oui;Non;Non;Non;Non;Non;Oui;1;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53106;47.55761;02/08/2005 00:00;11/04/2017 00:00;47.55761, -1.53106
44.0;Loire-Atlantique;44001;Abbaretz;440010002;Terrain de Sports;129515;Terrain Stabilisé;;1;2802;Terrain de football;Commune;Commune;Commune;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;1978;1975-1984;0;Stabilisé/cendrée;Découvert;;117.00;75.00;8775.00;;0;4;Oui;2;Oui;Oui;Non;Non;Non;Non;Non;Oui;1;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53024;47.55783;09/09/2005 00:00;06/05/2014 00:00;47.55783, -1.53024
44.0;Loire-Atlantique;44001;Abbaretz;440010002;Terrain de Sports;287645;Courts de Tennis;;2;501;Court de tennis;Commune;Commune;Commune;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;2000;1995-2004;0;Bitume;Découvert;;30.00;25.00;750.00;;0;4;Oui;2;Oui;Oui;Non;Oui;Non;Non;Non;Oui;;;;1;;;1;2005;A partir de 2005;Non;Non;Non;Oui;Non;Non;Non;Non-concerne;Non;Non;Non;Oui;Oui;Non;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53239;47.55778;13/02/2008 00:00;11/04/2017 00:00;47.55778, -1.53239
44.0;Loire-Atlantique;44001;Abbaretz;440010003;Site de la Mine;247310;L'Étang de la Mine - Base Départementale Nautique et de Loisirs;;1;2401;Site d'activités aquatiques et nautiques;Département;Association(s);Département;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;1999;1995-2004;0;Surface naturelle;Site naturel aménagé;;900.00;170.00;150000.00;;0;2;Non;0;Oui;Oui;Non;Non;Non;Non;Non;Oui;;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non;Non;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Plan d'eau intérieur;;;;Non;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54495;47.55704;13/12/2005 00:00;11/04/2017 00:00;47.55704, -1.54495
44.0;Loire-Atlantique;44001;Abbaretz;440010003;Site de la Mine;312133;Parcours d'Orientation;;1;3005;Parcours fixe de course d’orientation;Commune;EPCI;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;2010;A partir de 2005;0;Surface naturelle;Site naturel aménagé;;1000.00;350.00;350000.00;;0;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;1;1;1;1;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54257;47.56003;31/08/2010 00:00;15/06/2017 00:00;47.56003, -1.54257
44.0;Loire-Atlantique;44001;Abbaretz;440010003;Site de la Mine;312136;Entre Étangs et Pierre Bleue;;1;3012;Boucle de randonnée;Commune;EPCI;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;2009;A partir de 2005;0;Surface naturelle;Site naturel aménagé;;2700.00;2.00;5400.00;;0;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;;1;1;1;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54181;47.55969;31/08/2010 00:00;06/05/2014 00:00;47.55969, -1.54181
44.0;Loire-Atlantique;44001;Abbaretz;440010003;Site de la Mine;343672;Terrain de Boules;;1;202;Terrain de pétanque;Commune;Commune;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;;1995-2004;0;Surface naturelle;Découvert;;15.00;5.00;75.00;;2;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;;;;1;;;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54231;47.55802;06/05/2014 00:00;11/04/2017 00:00;47.55802, -1.54231
44.0;Loire-Atlantique;44001;Abbaretz;440010004;Les 5 Tresors;197752;Sentier Pédestre Équestre VTT des 5 Trésors;;1;3012;Boucle de randonnée;Commune;EPCI;Commune;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;2000;1995-2004;0;Surface naturelle;Site naturel aménagé;.00;28800.00;.00;.00;;0;0;Non;0;Non;Non;Non;Oui;Non;Non;Non;Oui;1;1;1;1;;;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;;Non;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.52446;47.554627;04/11/2005 00:00;11/04/2017 00:00;47.554627, -1.52446
44.0;Loire-Atlantique;44001;Abbaretz;440010005;Ecole Maternelle Louis Davy;343679;Salle de Motricité;;1;2201;Salles polyvalentes / des fêtes / non spécialisées;Commune;Commune;;;Non;Oui;Oui;Non;Non;Non;;;;;Non;Non;Non;Non;Non;5;2004;1995-2004;0;Parquet;Intérieur;3.00;10.00;5.00;50.00;;1;1;Oui;0;Non;Oui;Non;Non;Non;Non;Non;Oui;1;;;;;1;;;;Oui;Non;Non;Non;Non;Non;Oui;Non-concerne;Non;Non-concerne;Oui;Non;Oui;Non;Non-concerne;Non;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53201;47.55151;06/05/2014 00:00;30/06/2017 00:00;47.55151, -1.53201
44.0;Loire-Atlantique;44001;Abbaretz;440010006;Salle Polyvalente;343682;Salle Polyvalente;;1;2201;Salles polyvalentes / des fêtes / non spécialisées;Commune;Commune;;;Non;Non;Oui;Non;Non;Oui;;;;;Non;Non;Non;Non;Non;3;1988;1985-1994;0;Parquet;Intérieur;7.00;20.00;20.00;400.00;;0;0;Non;0;Non;Oui;Non;Non;Non;Non;Non;Oui;1;;1;;;1;1;;;Oui;Non;Non;Non;Non;Non;Oui;Non-concerne;Non-concerne;Non-concerne;Oui;Non;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53257;47.553897;06/05/2014 00:00;20/09/2017 00:00;47.553897, -1.53257
