Code du département;Département;Code INSEE;Nom de la commune;Numéro de l'installation;Nom usuel de l'installation;Numero de la voie;Nom de la voie;Nom du lieu dit;Code postal;Installation particulière;Multi commune;Nombre de couvert;Nombre de lit;Présence d'un internet;Aucun aménagement d'accessibilité;Accessibilité handicapés à mobilité réduite;Accessibilité handicapés sensoriels;Nombre total de place de parking;Nombre total de place de parking handicapés;Gardiennée avec ou sans logement de gardien;Emprise foncière en m2;Desserte métro;Desserte bus;Desserte Tram;Desserte train;Desserte bateau;Desserte autre;Date de création de la fiche installation;Date de mise à jour de la fiche installation;Nombre total de fiches équipements;Nombre total d'équipements sportifs;localisation1;localisation2;localisation
44;Loire-Atlantique;44007;Avessac;440070004;Site de De Painfaut;4;Le Pont de Painfaut;Painfaut;44460;Non;Non;0;12;Non;Oui;Non;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2006-07-04;2014-05-21;1;1;47.679743, -1.979368;47.635436304, -1.97050871505;47.679743, -1.979368
44;Loire-Atlantique;44005;Arthon-en-Retz;440050002;Plan d'Eau de la Vesquerie;;D206;La Vesquerie;44320;Non;Non;0;0;Non;Oui;Non;Non;20;0;Non;45000;Non;Non;Non;Non;Non;Non;2008-11-06;2015-07-05;1;1;47.13472, -1.919572;47.1592162214, -1.95412512421;47.13472, -1.919572
44;Loire-Atlantique;44003;Ancenis;440030015;Aeroport du Pays d'Ancenis;60;Place Hélène Boucher;;44150;Aérodrome/aéroport;Non;0;0;Non;Non;Oui;Non;40;2;Sans logement de gardien;;Non;Oui;Non;Non;Non;Non;2005-09-11;2015-07-24;2;2;47.407667, -1.187303;47.3833270209, -1.18241880879;47.407667, -1.187303
44;Loire-Atlantique;44003;Ancenis;440030021;Espace Lamoriciere;174;Rue Lamoricière;;44150;Non;Non;0;0;Non;Non;Oui;Non;5;2;Non;;Non;Oui;Non;Non;Non;Non;2008-05-14;2015-09-21;4;4;47.369323, -1.181706;47.3833270209, -1.18241880879;47.369323, -1.181706
44;Loire-Atlantique;44003;Ancenis;440030009;Zone d'Activite de l'Aubiniere;;Rue Louis Breguet;;44150;Non;Non;0;0;Non;Non;Oui;Non;100;3;Non;10000;Non;Oui;Non;Non;Non;Non;2005-02-08;2015-09-22;2;2;47.395416, -1.187695;47.3833270209, -1.18241880879;47.395416, -1.187695
44;Loire-Atlantique;44003;Ancenis;440030026;Groupe Scolaire Albert Camus;325;Bd Josep Vincent;;44150;Etablissement scolaire;Non;0;0;Non;Non;Oui;Non;50;8;Non;;Non;Oui;Non;Non;Non;Non;2015-09-22;;1;1;47.367687, -1.182387;47.3833270209, -1.18241880879;47.367687, -1.182387
44;Loire-Atlantique;44003;Ancenis;440030006;Espace Edouard Landrain;;Boulevard de Kirkham;;44150;Complexe sportif;Non;0;0;Non;Non;Oui;Non;1500;4;Avec logement de gardien;;Non;Oui;Non;Non;Non;Non;2005-02-08;2015-09-14;9;11;47.363555, -1.185794;47.3833270209, -1.18241880879;47.363555, -1.185794
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440022115;Le Fief des Sports;;Rue du Fief;;44140;Non;Non;0;0;Non;Non;Oui;Non;100;4;Non;10000;Non;Non;Non;Non;Non;Non;2016-05-07;;2;2;47.07476, -1.414845;47.0719256611, -1.41556455507;47.07476, -1.414845
44;Loire-Atlantique;44018;Bouaye;440180005;Circuits de Randonnee;;;;44830;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-10-24;2015-10-28;4;4;47.143313, -1.689706;47.1473396882, -1.6725437059;47.143313, -1.689706
44;Loire-Atlantique;44018;Bouaye;440180013;Lycee Daniel Brottier;;Allée Daniel Brottier;;44830;Etablissement scolaire;Non;0;0;Non;Non;Oui;Non;40;0;Avec logement de gardien;;Non;Oui;Non;Non;Non;Non;2009-06-02;2015-10-28;2;2;47.160539, -1.677238;47.1473396882, -1.6725437059;47.160539, -1.677238
