Code du département;Libellé du département;Code INSEE;Nom de la commune;Numéro de la fiche équipement;Nombre d'équipements identiques;Activité code;Activité libellé;Activité praticable;Activité pratiquée;Dans salle spécialisable;Niveau de l'activité - Classif.;localisation
44;Loire-Atlantique;44053;Drefféac;66211;1;7901;Tennis;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.4684630967, -2.05940448032
44;Loire-Atlantique;44053;Drefféac;66215;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Compétition départementale;47.4684630967, -2.05940448032
44;Loire-Atlantique;44011;Belligné;66220;2;7901;Tennis;Oui;Non;Non;Loisir - Entretien - Remise en forme;47.4785440295, -1.02618318963
44;Loire-Atlantique;44109;Nantes;66244;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Compétition départementale;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66245;1;1101;Basket-Ball;Oui;Oui;Non;Scolaire;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66245;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Scolaire;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66246;4;7901;Tennis;Oui;Oui;Non;Entrainement;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66247;1;501;Saut;Oui;Non;Non;Loisir - Entretien - Remise en forme;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66247;1;502;Lancer;Oui;Non;Non;Loisir - Entretien - Remise en forme;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66247;1;503;Course sur piste;Oui;Non;Non;Loisir - Entretien - Remise en forme;47.2316356767, -1.54831008605
44;Loire-Atlantique;44109;Nantes;66248;1;2901;Football / Football en salle (Futsal);Oui;Oui;Non;Compétition départementale;47.2316356767, -1.54831008605
44;Loire-Atlantique;44040;Chéméré;66273;1;701;Badminton, Jeu de volant;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.138874575, -1.88952152249
44;Loire-Atlantique;44040;Chéméré;66273;1;1101;Basket-Ball;Oui;Oui;Non;Compétition départementale;47.138874575, -1.88952152249
44;Loire-Atlantique;44040;Chéméré;66273;1;3501;Gymnastique volontaire;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.138874575, -1.88952152249
44;Loire-Atlantique;44040;Chéméré;66273;1;3701;Handball / Mini hand / Handball de plage;Oui;Oui;Non;Scolaire;47.138874575, -1.88952152249
44;Loire-Atlantique;44040;Chéméré;66273;1;6302;Patinage de course;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.138874575, -1.88952152249
