Code departement;Departement;Code INSEE;Commune;Numéro de l'installation;Nom usuel de l'installation;Numéro de la fiche équipement;Equipement;Batiment;Nombre d'équipements identiques;Type d'équipement_Code;Type d'équipement;Propriétaire principal;Gestionnaire principal;Propriétaire secondaire;Gestionnaire secondaire libellé;Gestion en délégation de service public;Nombre de vestiaires avec douches;Présence d'un éclairage;Chapiteau tente;Etablissement flottant;Salle polyvalente;Restaurant et débit de boisson;Etablissement recevant du public Hôtel;Hôtel Restaurant d'altitude;Salle de danse et jeux;Etablissement de plein air;Enseignement et colo;Etablissement recevant du public Type PE;Structure gonflable;Etablissement sportif couvert;Catégorie établissement recevant du public de 1 à 5;Année de mise en service;Tranche d'année de mise en service;Nombre de place en tribune;Libellé de la nature du sol;Libellé de la nature de l'équipement;Aire d'évolution Hauteur;Aire d'évolution Longueur;Aire d'évolution Largeur;Aire d'évolution Surface;Hauteur surface évolution;Nombre de couloir / piste / poste / etc.;Nombre de vestiaire sportif;Dont nombre de vestiaire chauffé;Nombre de vestiaire arbitre enseignant;Nombre de sanitaire sportif;Nombre de sanitaire public;Ouverture exclusivement saisonnière;Equipement de proximité (ouvert 7j/7j - 24h/24h);Sono fixe;Tableau fixe;Chronométrage;Aucun aménagement d'information;Utilisateur scolaire;Utilisateur club;Utilisateur autre;Utilisateur individuel;Utilisation performance;Utilisation formation;Utilisation récréation sportive;Tranche de date de dernier travaux réalisés;Date dernier travaux réalisés;Aucun travaux réalisé;Travaux de mise en conformité avec les règlements;Normes AFNOR;Inadaptation aux attentes des usagers;Dégâts liés à des dégradations ou à une catastrophe naturelle;Vétusté normal;Accès handicapé mobilité Aire d'évolution;Accès handicapé mobilité Tribune;Accès handicapé mobilité Vestiaire;Accès handicapé mobilité sanitaire sportif;Accès handicapé mobilité sanitaire public;Accès handicapé mobilité Aucun;Accès handicapé sensoriel Aucun;Accès handicapé sensoriel Aire d'évolution;Accès handicapé sensoriel Tribune;Accès handicapé sensoriel Vestiaire;Accès handicapé sensoriel Sanitaire sportif;Accès handicapé sensoriel Public;Accueil club;Accueil salle de réunion;Accueil buvette;Accueil contrôle anti-dopage;Accueil centre médico sportif;Accueil infirmerie;Accueil bureau;Accueil réception;Accueil local rangement;Accueil autre;Accueil aucun;Non chauffé;Chauffage fuel;Chauffage gaz;Chauffage électricité;Chauffage solaire;Chauffage autre;Confort sauna;Confort bain bouillonnant;Confort bain vapeur;Confort solarium;Confort autre;Confort aucun;Démarche haute qualité environnementale;Nombre de couloirs pour les structures artificielles d'escalade;Hauteur pour les structures artificielles d'escalade;Surface pour les structures artificielles d'escalade;Présence d'une signalétique;Présence de moyen d'alerte;Accès pédestre pour le public;Accès route pour le public;Accès mécanique pour le public;Accès nautique pour le public;Accès pédestre pour les secours;Accès routier pour les secours;Accès mécanique pour les secours;Accès nautique pour les secours;Locaux techniques;Locaux pédagogiques;Existence d'une aide publique à l'investissement;Equipement inscrit au plan départemental des espaces, sites et itinéraires;Situation de l'espace ou site de pratique;Site escalade Nombre de voies;Classe fédérale mini;EquNatureClassFedeMaxi;Présence d'une tour d'arrivée;Envol treuil;EquNatureSKAltitudeBasse;EquNatureSKAltitudeHaute;EquNatureSKDebit;Total remontée;EquNatureSKNbKMSkiAlpin;EquNatureSKNbKMSkiNordique;EquNatureSHNbPisteNeigeArti;EquNatureSKSnowPark;EquNatureSKHalfpipe;EquNatureSKKmLance;EquNatureSKBorder;EquNatureSKSlalom;EquNatureSKTremplin;EquNatureSKJardinAlpin;EquNatureSKJardinNordique;EquipementTir1Non;Tir 25;EquipementTir5Non;EquipementTir1NonNon;EquipementTir2NonNon;EquipementTir3NonNon;Tir plateau;Tir autre;Développement de la piste en mètre;Longueur de ligne droite;Nombre de couloir en ligne droite;Nombre de couloir hors ligne droite;Rivière de steeple;Système d'aide à la surveillance;Nombre d'aires de saut;Nombre d'aires de saut en hauteur;Nombre d'aires de saut en longueur;Nombre d'aires de saut en longueur et triple saut;Nombre d'aires de saut en sautoir perche;Nombre d'aires de lancer;Nombre d'aires de poids;Nombre d'aires de disque;Nombre d'aires de javelot;Nombre d'aires de marteau;Nombre d'aires de lancer mixte disque/marteau;Forme du bassin;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur mini;Profondeur maxi;Nombre de couloirs;Surface des plages;Nombre total de tremplins;Nombre de tremplins de 1 m;Nombre de tremplins de 3 m;Nombre total de plateformes;Nombre de plateformes de 3 m;Nombre de plateformes de 5 m;Nombre de plateformes de 7,5 m;Nombre de plateformes de 10 m;Machine à vagues;Toboggan;Pentaglisse;Rivière;Système d'immersion personne handicapée;Fond mobile;Mur ou aileron mobile;Eclairage subaquatique;Sonorisation subaquatique;Autre aménagement;Présence pataugeoire;Coordonnées GPS longitude;Coordonnées GPS latitude;Date de création de la fiche équipement;Date de mise à jour de la fiche équipement;localisation
44.0;Loire-Atlantique;44011;Belligné;440110003;Courts de Tennis;66220;Court de Tennis;;2;501;Court de tennis;Commune;Commune;Commune;;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;1980;1975-1984;0;Bitume;Découvert;;36.00;36.00;1296.00;;0;0;Non;0;Non;Non;Non;Non;Non;Non;Non;Oui;1;1;1;1;;;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.02811;47.47375;02/08/2005 00:00;13/04/2017 00:00;47.47375, -1.02811
44.0;Loire-Atlantique;44009;Basse-Goulaine;440090002;Stade des Rouleaux;66562;Terrain de Rugby;;1;2803;Terrain de rugby;Commune;Commune;Commune;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;1980;1975-1984;0;Gazon naturel;Découvert;;120.00;60.00;7200.00;;0;2;Oui;1;Non;Oui;Non;Oui;Non;Non;Non;Oui;;1;;;;1;;;;Oui;Non;Non;Non;Non;Non;Oui;Non-concerne;Non;Non-concerne;Non;Non;Oui;Non;Non-concerne;Non;Non-concerne;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.46794;47.20279;02/08/2005 00:00;11/04/2017 00:00;47.20279, -1.46794
44.0;Loire-Atlantique;44003;Ancenis;440030003;Complexe du Bois Jauni;66624;Salle de Gymnastique;;1;2106;Salle de gymnastique sportive;Commune;Commune;;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2;1982;1975-1984;0;Synthétique (hors gazon);Intérieur;5.00;22.00;12.00;264.00;;0;6;Oui;3;Oui;Oui;Non;Non;Oui;Non;Non;Non;1;1;1;;;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non;Non;Non;Oui;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1866;47.38038;02/08/2005 00:00;17/09/2015 00:00;47.38038, -1.1866
44.0;Loire-Atlantique;44003;Ancenis;440030003;Complexe du Bois Jauni;66625;Terrain Stabilisé;;1;2802;Terrain de football;Commune;Commune;;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;2;1982;1975-1984;0;Stabilisé/cendrée;Découvert;;112.00;65.00;7280.00;;0;8;Oui;5;Oui;Oui;Non;Oui;Non;Non;Non;Oui;1;1;1;1;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Oui;Oui;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.18545;47.3804;02/08/2005 00:00;17/09/2015 00:00;47.3804, -1.18545
44.0;Loire-Atlantique;44003;Ancenis;440030003;Complexe du Bois Jauni;66626;Salle de Sports B;;1;1901;Salle multisports;Commune;Commune;;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2;1982;1975-1984;128;Synthétique (hors gazon);Intérieur;7.00;44.00;24.00;1056.00;;0;6;Oui;3;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;1;1;;;1;1;;;;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.18666;47.38049;02/08/2005 00:00;11/04/2017 00:00;47.38049, -1.18666
44.0;Loire-Atlantique;44003;Ancenis;440030003;Complexe du Bois Jauni;66628;Salle de Sports A;;1;1901;Salle multisports;Commune;Commune;;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2;1982;1975-1984;0;Synthétique (hors gazon);Intérieur;8.00;44.00;24.00;1056.00;;0;6;Oui;3;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;1;1;;;1;1;;2009;A partir de 2005;Non;Non;Non;Non;Non;Oui;Oui;Non-concerne;Oui;Oui;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.18623;47.38046;02/08/2005 00:00;11/04/2017 00:00;47.38046, -1.18623
44.0;Loire-Atlantique;44003;Ancenis;440030003;Complexe du Bois Jauni;66630;Terrain de Rugby;;1;2801;Terrain mixte;Commune;Commune;;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;2;1980;1975-1984;0;Gazon naturel;Découvert;;129.00;72.00;9288.00;;0;8;Oui;5;Oui;Oui;Non;Non;Non;Non;Non;Oui;1;1;;;1;1;;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Oui;Oui;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.18442;47.38151;02/08/2005 00:00;27/04/2017 00:00;47.38151, -1.18442
44.0;Loire-Atlantique;44003;Ancenis;440030010;Centre Aquatique Jean Blanchet;66648;Bassin Ludique;;1;103;Bassin ludique de natation;EPCI;EPCI;;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;3;1993;1985-1994;0;Carrelage;Intérieur;;;;;6.00;;4;Oui;1;Oui;Oui;Non;Non;Oui;Non;Non;Non;1;1;1;1;3;1;2;2012;A partir de 2005;Non;Oui;Non;Non;Non;Non;Oui;Non-concerne;Oui;Oui;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;;;;;;;;;;;;Autre forme géométrique;15.00;10.00;150.00;.35;1.40;;150;0;0;0;0;0;0;0;0;Non;Oui;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;-1.18653;47.37911;02/08/2005 00:00;19/04/2017 00:00;47.37911, -1.18653
44.0;Loire-Atlantique;44003;Ancenis;440030010;Centre Aquatique Jean Blanchet;66649;Bassin Sportif;;1;102;Bassin sportif de natation;EPCI;EPCI;;;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;3;1993;1985-1994;0;Carrelage;Intérieur;;;;;6.00;;4;Oui;1;Oui;Oui;Non;Non;Oui;Non;Non;Non;1;1;1;1;3;1;2;2012;A partir de 2005;Non;Oui;Non;Non;Non;Non;Oui;Non-concerne;Oui;Oui;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;;;;;;;;;;;;Rectangulaire/carré;25.00;12.50;312.50;1.20;3.40;5;120;1;1;0;0;0;0;0;0;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Oui;-1.18658;47.37912;02/08/2005 00:00;19/04/2017 00:00;47.37912, -1.18658
44.0;Loire-Atlantique;44004;Anetz;440040002;Complexe Sportif de la Cour;66783;Courts de Tennis;;2;501;Court de tennis;Commune;Commune;Commune;Association(s);Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;3;1987;1985-1994;0;Béton;Découvert;;36.00;18.00;648.00;;0;0;Non;0;Non;Non;Non;Oui;Non;Non;Non;Oui;;1;1;1;;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1031;47.37835;02/08/2005 00:00;11/04/2017 00:00;47.37835, -1.1031
